                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.98236,                0.54113,                 1.0807,                0.82501,                0.87356,                0.89222,                0.54847,                 1.3764,                 0.7433,                 1.2878,              0.0005348,              0.0005348,              0.0005348
                     77,                0.95016,                0.57122,                 1.0473,                 0.8354,                0.88506,                0.87758,                0.54633,                 1.4247,                0.75884,                 1.2639,               0.000515,               0.000515,               0.000515
                     78,                0.95767,                0.54343,                 1.0528,                0.79507,                0.90805,                0.86072,                 0.5417,                 1.3801,                0.74227,                 1.2628,              0.0004952,              0.0004952,              0.0004952
                     79,                0.99384,                0.55348,                 1.0517,                0.77203,                0.86207,                0.85564,                0.54814,                 1.3576,                0.76619,                 1.2626,              0.0004754,              0.0004754,              0.0004754
                     80,                0.97515,                0.55305,                 1.0506,                0.83088,                0.79062,                0.86017,                0.52662,                 1.4351,                0.81093,                 1.2648,              0.0004556,              0.0004556,              0.0004556
                     81,                0.95863,                0.56268,                 1.0477,                0.79822,                0.81849,                0.86189,                0.54262,                 1.4196,                0.80819,                 1.2605,              0.0004358,              0.0004358,              0.0004358
                     82,                0.95571,                0.53741,                 1.0529,                0.84665,                0.85057,                0.88258,                0.55309,                 1.4164,                0.76475,                 1.2789,               0.000416,               0.000416,               0.000416
                     83,                 0.9235,                0.52357,                 1.0431,                 0.7976,                0.86061,                0.84394,                0.55366,                 1.3737,                0.73553,                 1.2863,              0.0003962,              0.0003962,              0.0003962
                     84,                0.93952,                0.50997,                 1.0692,                0.78548,                0.87356,                0.82171,                0.51601,                 1.3994,                0.73026,                 1.2966,              0.0003764,              0.0003764,              0.0003764
                     85,                0.90989,                0.51349,                 1.0314,                0.88479,                 0.7945,                0.85164,                0.52361,                 1.4082,                 0.7392,                 1.2928,              0.0003566,              0.0003566,              0.0003566
                     86,                0.91739,                0.52538,                 1.0361,                 0.7917,                0.87375,                0.89071,                0.55648,                  1.373,                0.74262,                 1.2664,              0.0003368,              0.0003368,              0.0003368
                     87,                0.91267,                0.50729,                 1.0323,                0.89717,                0.80229,                0.89595,                0.54639,                  1.431,                0.75935,                 1.2755,               0.000317,               0.000317,               0.000317
                     88,                0.90607,                0.50982,                 1.0217,                0.87698,                0.81942,                0.88773,                0.55417,                 1.3873,                0.74806,                 1.2843,              0.0002972,              0.0002972,              0.0002972
                     89,                0.91442,                0.52595,                 1.0327,                0.89246,                 0.8046,                0.87454,                0.54586,                 1.4075,                0.76939,                 1.2823,              0.0002774,              0.0002774,              0.0002774
                     90,                0.89194,                0.49312,                 1.0274,                0.82691,                0.87356,                0.88713,                0.55324,                 1.3688,                 0.7889,                 1.2603,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.8992,                0.49888,                 1.0275,                0.82947,                0.89456,                0.90976,                0.54028,                 1.3741,                0.81859,                 1.2555,              0.0002378,              0.0002378,              0.0002378
                     92,                0.89046,                0.47076,                 1.0273,                0.80682,                0.86415,                0.87615,                0.53537,                 1.4465,                0.81833,                 1.2978,               0.000218,               0.000218,               0.000218
                     93,                0.86793,                0.46101,                 1.0136,                0.83121,                0.83908,                0.87684,                0.54423,                 1.4065,                0.78282,                  1.278,              0.0001982,              0.0001982,              0.0001982
                     94,                0.84722,                0.44954,                0.99378,                0.83785,                0.83908,                0.86958,                0.53026,                 1.3929,                0.78477,                 1.2649,              0.0001784,              0.0001784,              0.0001784
                     95,                0.84271,                0.45453,                0.99674,                0.80606,                0.85991,                0.84963,                0.52622,                 1.4364,                0.80751,                  1.279,              0.0001586,              0.0001586,              0.0001586
                     96,                0.81568,                0.44307,                0.99053,                0.79289,                0.83908,                0.84414,                 0.5307,                 1.4368,                0.80919,                 1.2763,              0.0001388,              0.0001388,              0.0001388
                     97,                0.81313,                 0.4536,                 1.0065,                0.80857,                0.87389,                0.86925,                  0.538,                 1.4029,                 0.7829,                 1.2716,               0.000119,               0.000119,               0.000119
                     98,                0.82286,                0.43583,                0.98962,                0.81711,                0.87304,                0.86919,                0.53638,                 1.4044,                0.78082,                 1.2796,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.82952,                0.44631,                0.98878,                0.80044,                0.86207,                0.85767,                0.53253,                 1.4316,                0.79662,                 1.2803,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.83876,                0.45574,                 0.9959,                0.80747,                0.86775,                0.85473,                0.52301,                 1.4267,                0.79918,                 1.2794,               5.96e-05,               5.96e-05,               5.96e-05
